date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2025-10-01|09:12:45|Office Supplies|Staples|-45.50
2025-10-01|11:20:30|Freelance Payment|ClientA|1200.00
2025-10-01|14:05:12|Coffee|Starbucks|-5.25
2025-10-02|08:50:10|Monthly Rent|Landlord|-3200.00
2025-10-02|13:40:25|Website Design|ClientB|800.00
2025-10-02|15:15:55|Lunch|Subway|-12.50
2025-10-03|09:05:30|Software Subscription|Adobe|-29.99
2025-10-03|10:20:45|Freelance Payment|ClientC|650.00
2025-10-03|12:30:00|Snacks|Amazon|-23.80
2025-10-04|08:10:15|Gym Membership|FitClub|-45.00
2025-10-04|14:05:05|Consulting Fee|ClientD|900.00
2025-10-04|16:45:50|Taxi|Uber|-18.75
2025-10-05|09:30:22|Stationery|OfficeDepot|-33.40
2025-10-05|11:15:40|Freelance Payment|ClientE|1100.00
2025-10-05|13:25:35|Dinner|OliveGarden|-60.00
2025-10-06|10:10:10|Electricity Bill|UtilityCo|-120.75
2025-10-06|14:45:20|Project Income|ClientF|450.00
2025-10-06|16:55:05|Books|Barnes&Noble|-40.20
2025-10-07|08:05:15|Internet Bill|ISP|-55.00
2025-10-07|12:30:50|Freelance Payment|ClientG|1300.00
2025-10-07|15:40:25|Lunch|Chipotle|-15.00
2025-10-08|09:15:30|Office Desk|IKEA|-250.00
2025-10-08|11:45:55|Consulting Fee|ClientH|750.00
2025-10-08|14:20:40|Coffee|Starbucks|-4.95
2025-10-09|08:50:10|Water Bill|UtilityCo|-30.25
2025-10-09|10:30:15|Freelance Payment|ClientI|500.00
2025-10-09|12:15:55|Snacks|Amazon|-18.60
2025-10-10|09:45:12|Office Chair|IKEA|-150.00
2025-10-10|14:30:05|Website Hosting Payment|GoDaddy|-12.99
2025-10-10|16:20:30|Freelance Project Income|ClientA|500.00
2025-10-12|10:31:20|7|subway|8
